id,pubId,Equation,reactionEnergy,surfaceComposition,ads_1,ads_2,ads_3,sites_1,sites_2,sites_3,MetalA,RatioA,MetalB,RatioB
396427.0,MamunHighT2019,H2O2(g) + 4* -> 2H* + 2O*,-1.8028896938642447,Ga3Au,H,O,0,top,hollow,0,Ga,3,Au,1
379508.0,MamunHighT2019,CH4(g) + 5* -> C* + 4H*,-0.9291684852422576,La3In,C,H,0,hollow,hollow,0,La,3,In,1
420193.0,MamunHighT2019,CH3SH(g) + 6* -> C* + 4H* + S*,-4.120619858760279,PtW,C,H,S,hollow,bridge,hollow,Pt,1,W,1
397035.0,MamunHighT2019,H2SO3(g) + 6* -> 2H* + 3O* + S*,-7.635897176662183,In3Nb,H,O,S,top,top,top,In,3,Nb,1
381595.0,MamunHighT2019,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,-9.483793003381264,Zr3Au,C,H,O,hollow,hollow,hollow,Zr,3,Au,1
384365.0,MamunHighT2019,CH3CHO(g) + 7* -> 2C* + 4H* + O*,-6.452151501439971,V3Y,C,H,O,hollow,bridge,top,V,3,Y,1
394106.0,MamunHighT2019,NH2(g) + 3* -> 2H* + N*,-3.7082037167850217,Cd3Tc,H,N,0,top,top,0,Cd,3,Tc,1
372792.0,MamunHighT2019,CO2(g) + 3* -> C* + 2O*,-6.066451632261305,AlSc,C,O,0,bridge,hollow,0,Al,1,Sc,1
373661.0,MamunHighT2019,CO(g) + 2* -> C* + O*,2.7115812042269454,AuIn,C,O,0,hollow,hollow,0,Au,1,In,1
383827.0,MamunHighT2019,CH3OH(g) + 6* -> C* + 4H* + O*,-7.698600640690984,Ti3La,C,H,O,hollow,hollow,hollow,Ti,3,La,1
366950.0,MamunHighT2019,NH2(g) + 3* -> 2H* + N*,-6.395744887882131,CrNb,H,N,0,hollow,bridge,0,Cr,1,Nb,1
418516.0,MamunHighT2019,CH* + * -> C* + H*,0.340197673496732,Pd3Ag,C,H,CH,hollow,hollow,hollow,Pd,3,Ag,1
366485.0,MamunHighT2019,H2O(g) + 3* -> 2H* + O*,-4.763063760570844,CrHf,H,O,0,hollow,hollow,0,Cr,1,Hf,1
425229.0,MamunHighT2019,CO2(g) + 3* -> C* + 2O*,2.506205325576957,Pt3Ag,C,O,0,hollow,hollow,0,Pt,3,Ag,1
